gbifid	x	y	plant	eventdate	day	month	year
1095510285	0	0	sage	1992-11-08T01:00Z	8	11	1992
1095491163	0	0	sage				
1095447241	0	0	sage	1983-06-02T02:00Z	2	6	1983
1095437303	0	0	sage	1978-06-12T01:00Z	12	6	1978
1095437278	0	0	sage	1980-05-09T02:00Z	9	5	1980
1095436536	0	0	sage	1974-12-02T01:00Z	2	12	1974
1095318613	0	0	sage	2003-11-20T01:00Z	20	11	2003
1095314831	0	0	sage				
1095311546	0	0	sage	2000-11-03T01:00Z	3	11	2000
1095302420	0	0	sage				
1090965174	0	0	sage	2006-03-13T01:00Z	13	3	2006
1090833377	0	0	sage	1912-12-14T01:00Z	14	12	1912
1090765039	0	0	sage	1981-10-18T01:00Z	18	10	1981
1090765020	0	0	sage	1981-10-14T01:00Z	14	10	1981
1089277755	0	0	sage	1991-10-21T01:00Z	21	10	1991
1089271733	0	0	sage	2000-09-10T02:00Z	10	9	2000
1089271631	0	0	sage	2007-11-09T01:00Z	9	11	2007
1089270099	0	0	sage	2005-09-16T02:00Z	16	9	2005
1089266786	0	0	sage	1995-11-21T01:00Z	21	11	1995
1089030809	0	0	sage	1944-11-25T01:00Z	25	11	1944
1088034225	0	0	sage	2012-01-04T01:00Z	4	1	2012
1086968516	0	0	sage	1998-10-13T02:00Z	13	10	1998
1086964182	0	0	sage	2010-12-08T01:00Z	8	12	2010
1077516627	0	0	sage	1953-11-01T01:00Z		11	1953
1077516597	0	0	sage	1953-11-01T01:00Z		11	1953
1077516582	0	0	sage	1953-11-01T01:00Z		11	1953
1077508008	0	0	sage	2003-11-14T01:00Z	14	11	2003
1077506403	0	0	sage	2014-04-01T02:00Z		4	2014
1077506235	0	0	sage	2014-08-18T02:00Z	18	8	2014
1077292307	0	0	sage	2010-10-15T02:00Z	15	10	2010
1077283258	0	0	sage	2005-11-18T01:00Z	18	11	2005
895357847	0	-7.49	sage				
142929389	0	0	sage				
142929361	0	0	sage				
45936636	0	0	sage				
45934740	0	0	sage				
1098698715	4.619236	-74.160492	sage	2013-07-10T02:00Z	10	7	2013
1098698621	4.619236	-74.160492	sage	2013-07-10T02:00Z	10	7	2013
1098675500	4.72278	-73.97167	sage	1971-10-01T01:00Z	1	10	1971
1098684931	4.788421	-74.464218	sage	2001-08-01T02:00Z	1	8	2001
1098683625	4.788421	-74.464218	sage	1991-08-01T02:00Z	1	8	1991
1707501539	5.708056	-73.511667	sage	2015-06-19T02:00Z	19	6	2015
1123917000	6.01748	-75.44917	sage	1993-07-22T02:00Z	22	7	1993
1123916027	6.033333	-75.416667	sage	1992-10-09T01:00Z	9	10	1992
1123915992	6.033333	-75.416667	sage	1992-10-09T01:00Z	9	10	1992
1249228233	6.056314	-75.500036	sage				
1123895226	6.191199	-75.625	sage	2007-01-01T01:00Z		1	2007
1253798226	9.947437	-84.900096	sage	2005-03-18T01:00Z	18	3	2005
1585321209	13.67041	-89.24715	sage	2017-05-15T02:00Z	15	5	2017
1418317697	20.86	-99.588139	sage	2001-12-20T01:00Z	20	12	2001
1030761524	29.157849	107.099275	sage	1959-01-01T01:00Z			1959
1030761491	29.157849	107.099275	sage	1959-01-01T01:00Z			1959
1571069777	29.585425	-95.149369	sage	2017-04-17T21:30Z	17	4	2017
1457778431	29.61199	-82.40689	sage	2007-06-16T02:00Z	16	6	2007
1258124039	29.639	-82.361	sage	2008-06-08T02:00Z	8	6	2008
1656071325	29.643625	-82.344874	sage	2017-04-19T02:00Z	19	4	2017
1453130275	30.395101	-97.651303	sage	2016-10-09T18:00Z	9	10	2016
